,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montecreto,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,Riolunato,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE
2020-10-23,0,0,1,0,6,1,0,0,0,0,0,2,0,0,0,0,16,1,2,0,1,1,27,0,0,0,3,1,1,2,0,0,0,0,0,0,2,0,5,4,1,1,0,2,0,5,0,4,89
2020-10-24,0,1,2,0,9,2,0,1,0,3,0,1,1,0,3,0,2,1,2,2,2,3,48,0,0,0,3,1,0,5,0,0,0,1,0,0,0,0,11,4,2,1,0,4,2,2,0,4,123
2020-10-25,1,4,1,1,4,11,5,1,5,2,0,10,1,0,16,0,1,0,3,0,3,2,36,0,0,0,3,0,1,0,0,0,0,0,0,1,2,0,3,9,2,0,0,1,2,5,0,4,140
2020-10-26,0,3,3,0,13,10,1,1,0,0,0,3,3,0,10,0,2,0,4,0,0,2,62,0,0,0,5,1,0,1,0,1,0,3,0,0,1,0,0,8,3,0,0,1,1,4,1,4,151
2020-10-27,0,2,1,2,14,13,12,11,3,2,0,1,3,0,9,0,2,0,4,9,0,8,99,0,0,0,10,2,0,6,1,1,0,4,0,4,0,0,1,10,11,0,0,2,12,19,1,14,293
2020-10-28,1,4,3,0,22,6,5,2,4,4,0,2,1,0,9,0,3,0,3,1,0,4,121,0,0,0,7,5,0,12,1,1,1,1,0,2,2,0,2,16,1,5,1,4,4,6,0,14,280
2020-10-29,1,7,4,3,20,9,2,3,6,4,3,3,4,0,13,0,1,0,3,0,2,7,118,0,1,0,4,1,0,5,0,0,0,1,0,8,5,1,5,9,1,3,0,4,1,2,0,19,283
2020-10-30,2,1,2,0,69,9,8,2,1,1,0,4,9,0,21,2,1,1,13,1,2,3,101,0,0,1,4,7,0,11,0,1,0,6,0,2,3,0,3,27,0,1,0,3,6,10,0,27,365
2020-10-31,1,3,3,3,36,7,8,3,1,2,0,1,2,0,9,0,1,1,4,7,2,8,96,0,0,2,8,8,0,5,3,2,0,4,1,5,2,3,2,21,8,2,1,3,8,15,0,21,322
2020-11-01,1,3,7,0,39,4,5,1,9,0,0,11,4,0,8,2,0,0,6,0,2,9,118,0,0,0,8,6,0,7,0,0,0,4,0,1,2,1,6,36,0,1,0,5,0,2,1,12,321
2020-11-02,1,4,2,1,34,15,8,1,3,9,1,6,5,0,17,0,4,0,10,2,2,6,94,0,0,0,3,7,0,7,1,2,0,5,0,5,5,2,7,18,7,0,1,8,6,13,2,20,344
2020-11-03,5,9,13,3,44,34,3,2,4,2,0,7,1,0,17,1,2,1,1,4,6,14,269,0,1,2,17,5,0,21,0,1,0,15,0,7,9,0,2,11,1,4,0,6,6,5,0,14,569
2020-11-04,4,0,14,5,52,20,17,6,7,4,0,7,9,0,20,1,9,0,14,2,3,17,172,0,0,0,7,4,0,21,3,5,0,2,0,2,9,2,9,21,16,5,0,9,8,26,2,16,550
2020-11-05,3,5,4,1,23,13,7,4,1,5,5,3,6,0,7,1,13,1,3,2,0,5,116,0,0,0,4,0,0,18,0,0,1,5,0,2,1,2,2,16,6,7,3,2,3,10,1,21,332
2020-11-06,1,5,1,3,9,15,6,3,9,1,0,2,10,0,29,0,1,0,8,0,2,11,93,0,1,1,5,0,0,6,0,1,0,7,0,5,0,1,4,36,3,1,0,2,4,9,3,11,309
2020-11-07,3,11,5,1,28,23,13,2,0,1,0,5,9,0,18,1,1,1,6,1,4,10,94,0,2,1,3,3,0,11,0,1,0,4,0,0,1,3,4,41,3,4,1,6,4,7,3,15,354
2020-11-08,6,6,3,1,34,25,13,9,1,5,1,9,26,0,36,2,2,0,11,2,2,7,209,1,4,5,15,5,4,15,1,2,0,7,0,6,7,0,2,65,4,2,2,8,9,33,1,31,639
2020-11-09,5,3,2,2,28,28,14,13,3,4,0,7,6,0,24,0,4,0,13,6,5,6,136,0,3,0,11,3,0,4,2,2,0,4,0,1,3,2,1,24,10,3,2,3,11,41,0,17,456
