,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE,Montecreto,Riolunato
2020-09-26,0.0,1.0,0.0,0.0,17.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,23.0,0.0,0.0
2020-09-27,0.0,1.0,0.0,0.0,18.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0
2020-09-28,0.0,1.0,0.0,2.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0
2020-09-29,0.0,1.0,1.0,2.0,19.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0
2020-09-30,0.0,2.0,1.0,2.0,18.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,62.0,0.0,0.0
2020-10-01,0.0,2.0,1.0,3.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,16.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,65.0,0.0,0.0
2020-10-02,0.0,2.0,1.0,4.0,13.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,85.0,0.0,0.0
2020-10-03,0.0,2.0,1.0,4.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,85.0,0.0,0.0
2020-10-04,0.0,2.0,2.0,4.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,45.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,77.0,0.0,0.0
2020-10-05,0.0,2.0,2.0,2.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,1.0,7.0,54.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,94.0,0.0,0.0
2020-10-06,0.0,2.0,1.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,7.0,55.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,80.0,0.0,0.0
2020-10-07,0.0,1.0,1.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,1.0,10.0,64.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,70.0,0.0,0.0
2020-10-08,0.0,1.0,1.0,1.0,8.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,10.0,72.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,7.0,81.0,0.0,0.0
2020-10-09,0.0,0.0,1.0,0.0,8.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,1.0,14.0,84.0,1.0,5.0,1.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,7.0,103.0,0.0,0.0
2020-10-10,0.0,1.0,1.0,0.0,11.0,7.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,0.0,11.0,93.0,0.0,5.0,3.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,10.0,156.0,0.0,0.0
2020-10-11,0.0,1.0,1.0,0.0,14.0,11.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,4.0,1.0,0.0,11.0,118.0,0.0,5.0,7.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,11.0,156.0,0.0,0.0
2020-10-12,0.0,3.0,1.0,0.0,15.0,13.0,1.0,3.0,0.0,2.0,0.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,140.0,0.0,5.0,7.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,12.0,187.0,0.0,0.0
